city_ascii,country,lat,lng,tasmax_thresh,pr_thresh
Baghdad,Iraq,33.3153,44.3661,48.06501251220703,25.69885769113897
Qujing,China,25.5102,103.8029,30.4325228881836,26.021760687232018
Jieyang,China,23.5533,116.3649,36.2533901977539,46.494469296187276
Singapore,Singapore,1.3,103.8,35.38311492919922,30.836618950590466
Prayagraj,India,25.4358,81.8464,45.44212799072267,64.04302292503418
Liaocheng,China,36.45,115.9833,37.98926086425786,43.22123272530733
Dalian,China,38.9,121.6,31.391534118652373,75.07068514823914
Yulin,China,22.6293,110.1507,35.330474853515625,36.73396410048005
Changde,China,29.0397,111.6839,36.05304718017578,35.370648572221384
Qingdao,China,36.1167,120.4,32.14963104248051,56.5118862949312
Douala,Cameroon,4.05,9.7,38.02743438720705,34.28190276771785
Miami,United States,25.784,-80.2101,36.05478027343552,37.020069871097796
Nangandao,China,35.2992,113.8851,38.75502899169925,36.23111242242161
Pudong,China,31.2231,121.5397,33.64463867187504,51.16658934764563
Xiangyang,China,32.0654,112.1531,36.368099060058626,31.50985337980091
Dallas,United States,32.7935,-96.7667,40.86659118652313,55.119189463555806
Houston,United States,29.786,-95.3885,39.12539337157569,61.526403956115246
Zhengzhou,China,34.7492,113.6605,37.41422912597659,37.479021339677246
Lu'an,China,31.7542,116.5078,36.34795715332035,42.47794159501799
Dezhou,China,37.4513,116.3105,38.019866333007826,43.96160624921323
Jinan,China,36.6667,116.9833,37.233086242675824,43.66046208702027
Giza,Egypt,29.987,31.2118,40.04645416259768,11.664730031043291
Zhaotong,China,27.3328,103.7144,28.373476562500002,22.92808615788817
Yichun,China,27.8041,114.383,36.57435516357424,39.526552151888616
Nairobi,Kenya,-1.2864,36.8172,33.20674194335942,31.578393392264847
Guadalajara,Mexico,20.6767,-103.3475,37.065840759277364,29.015366557985494
Philadelphia,United States,40.0077,-75.1339,37.06259796142351,46.6344708502292
Ankara,Turkey,39.93,32.85,36.24819091796877,17.33762724325061
Tai'an,China,36.2001,117.0809,36.176771850585965,41.08804848510769
Dazhou,China,31.2152,107.4947,36.75112670898437,37.02330803498628
Langfang,China,39.5196,116.7006,38.039823303222704,33.397535054013126
Yongzhou,China,26.4515,111.5953,36.779215087890634,32.70099676307292
Toronto,Canada,43.7417,-79.3733,33.13563812255826,25.10612272471184
Suihua,China,46.6384,126.9808,34.33207305908206,26.5271658115089
Saint Petersburg,Russia,59.95,30.3167,29.47356658935547,15.473818767350137
Qiqihar,China,47.3398,123.9512,35.39935180664065,29.011904974468106
Suzhou,China,33.6333,116.9683,36.67989624023437,39.06222048215569
Monterrey,Mexico,25.6667,-100.3,38.81992645263251,57.7863823994994
Belo Horizonte,Brazil,-19.9167,-43.9333,35.37427459716292,32.78014512173832
Weinan,China,34.4996,109.4684,36.686138916015636,33.64576178044076
Rangoon,Myanmar,16.795,96.16,40.98818023681645,45.43799846246839
Zhangzhou,China,24.5093,117.6612,35.93832611083985,43.94797385483978
Yuncheng,China,35.0304,110.998,39.19716094970704,31.861960150301496
Xianyang,China,34.35,108.7167,37.635399780273474,34.31029886193572
Guilin,China,25.2819,110.2864,35.674060058593795,39.33779741730543
Atlanta,United States,33.7628,-84.422,36.86406219482391,50.14886267110707
Taizhou,China,32.4831,119.9,34.583661499023435,36.46616058424114
Kashan,Iran,33.9833,51.4333,40.743975219726565,25.1659642830491
Bozhou,China,33.8626,115.7742,37.020001831054685,39.095458433032036
Suqian,China,33.9331,118.2831,35.372149963378945,42.22188791446385
Abidjan,Côte d'Ivoire,5.3167,-4.0333,36.72872406005805,33.94143941625948
Huaihua,China,27.5494,109.9592,35.701075134277346,29.212908335030058
Ji'an,China,27.1172,114.9793,37.53166687011719,39.36675984319293
Xiaoganzhan,China,30.9273,113.911,36.36620544433595,39.895256850868435
Pingdingshan,China,33.735,113.2999,37.3135308837891,34.174496389925515
Jiujiang,China,29.7048,116.0021,36.54372253417972,45.0088269822299
Alexandria,Egypt,31.1975,29.8925,36.40919464111329,32.071921695023775
Mianyang,China,31.4669,104.7385,36.31502044677734,25.83189820870757
Sydney,Australia,-33.8678,151.21,33.89167266845703,47.061247956007726
Huanglongsi,China,34.795,114.345,38.21397796630862,37.55560498684645
Washington,United States,38.9047,-77.0163,38.09116760253885,42.90989499539136
Barcelona,Spain,41.3825,2.1769,32.417872009277346,38.62437016144396
Changsha,China,28.1987,112.9709,36.43694427490237,35.54969925060861
Chenzhou,China,25.7989,113.0267,35.86912689208987,35.34198736678802
Anqing,China,30.5,117.0333,36.04804077148441,44.71738328039644
Jiangmen,China,22.5833,113.0833,35.4581256103516,42.539779622107766
Xinpu,China,34.5906,119.1801,33.12905548095705,46.18770602345465
Yibin,China,28.7596,104.64,35.57342864990238,23.896984267048538
Yangzhou,China,32.3912,119.4363,34.83686737060549,37.554368974640965
Melbourne,Australia,-37.8142,144.9631,35.34392242431642,29.84807816985993
Berlin,Germany,52.52,13.405,32.14614929199223,16.94688976043836
Hengshui,China,37.7348,115.686,38.09447723388672,35.095696155913174
Timbio,Colombia,2.3445,-76.6839,25.560955810543053,37.13014981616289
Kunming,China,25.0433,102.7061,30.220659179687516,24.661453516222526
